BusPosition{identifier=11626, status=true, positionX=-46.757851, positionY=-23.503573, timeStamp=Thu Feb 06 07:24:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7585925, positionY=-23.5049755, timeStamp=Thu Feb 06 07:25:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.755875, positionY=-23.506729999999997, timeStamp=Thu Feb 06 07:26:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.752933875, positionY=-23.508431375, timeStamp=Thu Feb 06 07:27:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.752933875, positionY=-23.508431375, timeStamp=Thu Feb 06 07:28:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 07:29:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747656500000005, positionY=-23.5080375, timeStamp=Thu Feb 06 07:30:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747656500000005, positionY=-23.5080375, timeStamp=Thu Feb 06 07:31:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74771425, positionY=-23.509438, timeStamp=Thu Feb 06 07:32:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7470933125, positionY=-23.51261925, timeStamp=Thu Feb 06 07:33:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:34:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:35:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:36:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:37:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:38:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Thu Feb 06 07:39:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.726451, positionY=-23.515008375, timeStamp=Thu Feb 06 07:58:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.726451, positionY=-23.515008375, timeStamp=Thu Feb 06 07:59:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 08:00:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71306321875, positionY=-23.515552125, timeStamp=Thu Feb 06 08:01:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71290984375, positionY=-23.516057625000002, timeStamp=Thu Feb 06 08:02:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71290984375, positionY=-23.516057625000002, timeStamp=Thu Feb 06 08:03:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712679781249996, positionY=-23.516815875, timeStamp=Thu Feb 06 08:04:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71260309375, positionY=-23.517068625, timeStamp=Thu Feb 06 08:05:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71260309375, positionY=-23.517068625, timeStamp=Thu Feb 06 08:06:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71237303125, positionY=-23.517826874999997, timeStamp=Thu Feb 06 08:07:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71219574999999, positionY=-23.518388125, timeStamp=Thu Feb 06 08:08:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712129, positionY=-23.520688, timeStamp=Thu Feb 06 08:09:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712129, positionY=-23.520688, timeStamp=Thu Feb 06 08:10:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 08:11:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 08:12:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70524, positionY=-23.520118875, timeStamp=Thu Feb 06 08:13:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70524, positionY=-23.520118875, timeStamp=Thu Feb 06 08:14:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 08:15:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 08:16:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 08:17:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 08:18:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 08:19:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Thu Feb 06 08:57:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:20:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:21:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:22:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:23:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:24:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:25:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747527000000005, positionY=-23.511206, timeStamp=Thu Feb 06 09:26:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72148312499999, positionY=-23.514126, timeStamp=Thu Feb 06 09:36:00 BRST 2014}
